,2021
451110,-71.0
451120,-39.0
451130,-8.0
451140,1.0
451211,-51.0
451212,-9.0
452210,-705.0
452311,-417.0
452319,-414.0
453110,-10.0
453210,-10.0
453220,-111.0
453310,4.0
453910,-31.0
453920,16.643439680456567
453930,-22.64343968033272
453991,-7.0
453998,-43.0
454110,19.0
454210,-10.0
454310,-5.0
454390,-12.0
481111,-332.0
481112,6.0
481211,7.0
481212,3.0
483111,1.7427595740548618
483113,-44.034867385984214
483114,6.607124469072197
484110,-256.0
484121,-383.0
484122,-74.0
484210,18.0
484220,-5.0
484230,-8.0
485111,38.64452590073614
485113,-28.0
485119,-9.644525900718769
485210,35.24532763981496
485310,-2.0
485320,-30.0
485410,-53.24532763973933
485510,-18.0
485991,-24.0
485999,25.0
486210,19.480954226926244
486910,14.482077905731721
486990,-30.963032132493915
487990,0.8687122220392256
488119,196.04611911887946
488190,-648.0461191186105
488210,-0.6003974764404916
488320,-5.3996025235627165
488410,17.0
488490,-117.0
488510,-392.0
488991,104.39803250769457
488999,-134.39803250768836
491110,-4.7897989796514295
492110,-2318.0
492210,21.0
493110,-1034.0
493120,7.0
493130,-10.166128148746818
493190,-65.8338718512141
511110,-18.363321631382405
511120,5.0
511130,-22.32180468626283
511140,-8.0
511199,34.685126317718165
511210,-968.0
512110,2274.0
512120,-45.91911668483894
512131,-244.11890097364687
512132,10.11890097368535
512191,-18.0
512199,19.919116684978768
512230,-3.0
512240,-7.0
512250,-1.0
512290,0.0
515111,-17.0
515112,0.0
515120,-86.0
515210,-1.0
517311,165.0
517312,581.0
517410,43.16539561722447
517911,54.21091104046968
517919,-267.37630665740267
518210,-10.0
519110,28.52592723974577
519120,-31.52592723971354
519130,-183.0
519190,-6.0
521110,947.7442201941774
522110,440.0
522120,-36.017184246903014
522130,-75.0
522190,32.01718424692622
522210,-64.0
522220,-90.0
522291,1.0
522292,138.0
522293,9.124495071619421
522294,-1.1244950716062903
522298,-35.0
522310,-44.0
522320,-158.0
522390,-67.0
523110,-37.0
523120,-61.0
523130,2.0
523140,-1.0
523210,-7.0
523910,-153.0
523920,-110.0
523930,-218.0
523991,-11.0
523999,-14.0
524113,-321.0
524114,-81.0
524126,-22.0
524127,95.87141741864122
524128,-126.87141741862752
524130,-1.0
524210,-58.0
524291,-56.0
524292,181.0
524298,-10.0
525110,0.9268929129524821
525120,-22.0
525190,-5.926892912917651
525910,-1.0
525920,-924.7442201928205
525990,-5.0
531110,-170.0
531120,-244.0
531130,-39.0
531190,-24.0
531210,-310.0
531311,198.0
531312,-79.0
531320,-9.0
531390,-95.0
532111,-367.53017529640897
532112,277.53017529665027
532120,-87.0
532210,-343.08115091014116
532281,-25.0
532282,9.677091612331086
532283,5.0
532284,11.404059297795502
532289,16.0
532310,1.0
532411,-8.0
532412,-44.0
532420,-5.0
532490,-91.0
533110,-8.0
541110,-320.0
541191,3.0
541199,-38.0
541211,-210.0
541213,22.0
541214,61.0
541219,-50.0
541310,-60.0
541320,-28.0
541330,-218.0
541340,13.141798943345677
541350,2.0
541360,-4.141798943348768
541370,-8.0
541380,4.0
541410,-19.0
