,2014,2015,2016,2017,2018,2019,2020,2021,MAD
21311,329.2,447.5,517.9,258.0,375.5,256.6,228.0,288.5,337.7
213111,301.4,324.8,428.1,243.5,317.2,247.5,189.2,223.8,284.4
213112,48.5,72.6,172.8,138.3,135.2,58.9,36.8,41.8,88.1
213113,0.0,0.0,0.0,0.0,0.0,0.0,34.2,35.6,8.7
213114,0.0,0.0,0.0,20.8,20.1,11.6,21.4,62.5,17.0
213115,20.7,50.1,83.1,102.9,56.8,38.3,53.6,75.3,60.1
22,6392.9,6322.6,6435.9,6356.1,5647.0,5575.2,6276.1,6200.7,6150.8
221,6392.9,6322.6,6435.9,6356.1,5647.0,5575.2,6276.1,6200.7,6150.8
2211,7229.3,7078.0,7558.2,7541.6,6946.2,6817.4,7380.1,7452.1,7250.4
22111,116.9,70.2,3006.7,2923.0,1988.2,1956.8,2258.4,2180.9,1812.6
221111,77.7,61.3,73.4,50.8,501.0,217.3,198.7,49.3,153.7
221112,204.9,176.1,2534.4,2433.7,144.7,1397.9,1217.3,175.7,1035.6
221113,20.6,72.7,213.2,331.3,1045.3,174.1,320.1,2049.6,528.4
221114,5.9,5.0,152.1,168.8,245.7,106.8,76.5,115.5,109.5
221116,8.4,7.6,33.1,0.0,0.0,0.0,0.0,0.0,6.1
221117,9.0,15.3,299.4,119.0,265.6,17.4,213.5,492.0,178.9
221118,21.8,46.1,152.1,258.7,566.7,291.7,385.1,20.2,217.8
22112,7112.4,7007.8,4551.5,4618.7,4958.1,4860.5,5121.8,5271.2,5437.7
221121,72.3,62.5,58.1,47.6,279.8,6.4,24.1,12.8,70.4
221122,7040.2,6945.3,4493.5,4571.0,4678.3,4866.9,5097.6,5283.9,5372.1
2212,369.7,423.3,438.5,333.4,383.1,370.8,316.2,384.4,377.4
22121,369.7,423.3,438.5,333.4,383.1,370.8,316.2,384.4,377.4
221210,369.7,423.3,438.5,333.4,383.1,370.8,316.2,384.4,377.4
2213,466.7,332.0,683.8,852.0,916.1,871.3,787.8,867.1,722.1
22131,338.2,268.1,653.9,810.0,832.1,769.1,717.6,773.9,645.4
221310,338.2,268.1,653.9,810.0,832.1,769.1,717.6,773.9,645.4
22132,128.5,63.9,29.9,42.0,84.1,102.3,70.3,93.1,76.8
221320,128.5,63.9,29.9,42.0,84.1,102.3,70.3,93.1,76.8
23,526.3,537.2,643.7,2364.1,4343.3,6289.3,823.7,897.9,2053.2
236,379.5,719.9,864.2,3449.7,1246.0,929.7,1666.5,1313.6,1321.1
2361,714.5,664.9,727.2,3017.6,1179.7,1324.2,1069.9,1081.4,1222.4
23611,714.5,664.9,727.2,3017.6,1179.7,1324.2,1069.9,1081.4,1222.4
236115,57.8,191.0,251.9,2100.1,266.6,693.7,350.9,439.1,543.9
236116,44.2,53.0,119.2,142.1,196.3,174.9,265.4,225.1,152.5
236117,46.4,21.4,10.7,31.3,14.5,13.2,99.2,242.3,59.9
236118,566.2,442.3,345.3,744.2,702.3,442.4,552.9,659.5,556.9
2362,335.1,55.0,137.0,432.0,66.3,394.4,596.6,232.2,281.1
23621,105.5,93.8,56.8,151.3,520.6,565.9,182.7,72.1,218.6
236210,105.5,93.8,56.8,151.3,520.6,565.9,182.7,72.1,218.6
23622,229.6,38.9,80.1,280.7,586.9,171.5,413.9,304.4,263.2
236220,229.6,38.9,80.1,280.7,586.9,171.5,413.9,304.4,263.2
237,69.1,315.8,541.1,1590.5,5806.2,7482.8,940.2,775.6,2190.2
2371,408.8,295.8,198.1,313.5,3802.6,5526.4,3914.8,2405.6,2108.2
23711,684.3,286.0,806.5,615.5,606.6,656.1,542.2,938.5,642.0
237110,684.3,286.0,806.5,615.5,606.6,656.1,542.2,938.5,642.0
23712,78.5,138.3,567.1,143.3,258.7,91.9,457.9,452.8,273.6
237120,78.5,138.3,567.1,143.3,258.7,91.9,457.9,452.8,273.6
23713,197.0,720.1,437.5,445.3,4668.0,6274.4,4914.8,3796.9,2681.7
237130,197.0,720.1,437.5,445.3,4668.0,6274.4,4914.8,3796.9,2681.7
2372,234.6,462.9,447.8,292.7,88.2,132.2,91.0,149.4,237.4
23721,234.6,462.9,447.8,292.7,88.2,132.2,91.0,149.4,237.4
237210,234.6,462.9,447.8,292.7,88.2,132.2,91.0,149.4,237.4
2373,916.0,929.9,1164.7,1142.7,977.5,1172.4,1243.6,902.9,1056.2
23731,916.0,929.9,1164.7,1142.7,977.5,1172.4,1243.6,902.9,1056.2
237310,916.0,929.9,1164.7,1142.7,977.5,1172.4,1243.6,902.9,1056.2
2379,341.6,446.9,373.8,1054.0,1114.3,651.8,4127.2,2682.3,1349.0
23799,341.6,446.9,373.8,1054.0,1114.3,651.8,4127.2,2682.3,1349.0
237990,341.6,446.9,373.8,1054.0,1114.3,651.8,4127.2,2682.3,1349.0
238,77.8,133.1,320.7,505.0,217.0,263.8,97.4,359.9,246.8
2381,60.3,38.5,144.9,229.4,218.1,297.3,272.9,530.7,224.0
23811,8.4,92.8,34.0,82.5,103.1,240.1,198.3,321.7,135.1
238111,456.5,186.2,58.2,156.4,200.5,211.2,106.3,471.6,230.9
238112,464.9,93.4,24.2,73.9,97.4,28.9,92.0,149.9,128.1
23812,484.9,717.4,613.3,440.9,262.5,450.9,395.1,234.4,449.9
238121,7.2,3.6,33.6,162.4,172.0,61.2,48.0,26.2,64.3
238122,477.7,713.8,579.7,278.6,90.5,512.1,443.1,260.6,419.5
23813,426.0,417.1,868.0,437.7,286.3,338.6,513.4,577.4,483.1
238131,461.3,315.7,707.3,364.9,274.4,263.5,334.4,453.4,396.9
238132,35.3,101.4,160.7,72.8,11.9,75.1,179.0,124.0,95.0
23814,197.5,201.4,140.2,130.9,129.5,84.3,154.4,225.2,157.9
238141,259.6,223.6,237.6,210.5,178.3,171.7,188.8,268.3,217.3
238142,62.1,22.2,97.4,79.7,48.7,87.4,34.4,43.1,59.4
23815,32.7,3.1,56.1,15.7,23.5,1.2,31.0,41.8,25.6
238151,195.2,175.8,207.7,137.1,111.4,87.2,46.4,54.0,126.9
238152,227.9,172.7,263.8,152.8,88.0,88.5,15.4,12.2,127.7
23816,16.8,112.5,51.3,16.8,181.2,128.4,4.0,108.5,77.4
238161,396.8,555.5,422.2,740.7,301.6,308.7,157.9,207.4,386.3
238162,379.9,668.0,473.5,757.4,482.8,180.3,153.8,98.9,399.3
23817,95.2,294.7,207.6,180.9,376.2,54.0,46.5,121.0,172.0
238171,154.6,327.1,199.6,196.3,348.1,104.6,124.3,106.7,195.2
238172,59.5,32.4,8.0,15.4,28.1,50.6,77.8,14.3,35.8
23819,149.2,140.7,384.2,129.2,256.6,95.9,279.7,388.6,228.0
238191,272.4,212.1,91.0,217.0,118.7,125.6,57.6,99.4,149.2
238192,421.6,352.8,475.2,346.2,375.3,221.4,337.3,289.1,352.4
2382,107.1,120.8,40.8,185.2,66.0,40.6,35.4,31.5,78.4
23821,134.0,146.4,7.4,178.3,179.0,23.9,77.5,30.8,97.2
238211,153.9,95.3,216.8,343.9,387.1,387.5,447.2,334.9,295.8
238212,287.9,241.7,224.2,165.6,208.1,363.6,369.8,365.7,278.3
23822,76.0,81.5,91.0,71.1,147.0,4.1,66.3,44.5,72.7
238221,18.6,7.8,47.7,7.8,41.0,272.6,265.9,260.2,115.2
238222,57.4,73.7,43.3,63.3,106.0,276.7,332.2,304.7,157.2
23829,165.2,185.7,42.7,64.2,34.0,20.8,24.2,106.9,80.5
238291,171.5,170.3,272.5,280.3,202.4,270.7,186.7,257.0,226.4
238292,6.2,15.4,315.3,344.5,168.3,249.9,162.5,150.1,176.5
2383,83.2,110.4,136.5,80.1,10.8,41.9,9.3,32.5,63.1
23831,55.8,29.9,124.2,22.4,4.7,62.7,50.8,170.5,65.1
238311,112.4,54.2,145.7,70.5,69.5,80.7,283.0,276.6,136.6
238312,56.6,24.2,21.5,48.1,74.2,18.0,232.2,106.1,72.6
23832,75.8,86.6,84.0,94.0,27.4,14.3,64.2,57.2,62.9
238321,29.9,35.1,42.2,215.9,141.0,97.2,99.8,168.3,103.7
238322,105.7,121.7,126.2,121.9,113.6,111.4,164.0,225.6,136.3
23833,33.2,74.7,34.7,14.2,114.0,8.9,85.0,310.0,84.3
238331,100.7,176.6,149.1,115.5,73.6,178.0,138.7,40.4,121.6
238332,67.5,101.9,114.4,101.4,187.7,186.9,223.7,350.4,166.7
23834,57.6,68.1,70.8,83.6,83.4,2.7,49.4,93.9,63.7
238341,145.6,110.1,167.8,155.4,110.7,45.9,108.1,155.4,124.9
238342,88.0,41.9,97.0,71.7,27.3,43.3,58.7,61.5,61.2
23835,31.9,44.7,106.7,20.4,100.6,115.7,174.4,229.6,103.0
238351,30.5,27.4,75.3,45.3,242.6,226.6,327.8,324.1,162.4
238352,1.4,17.3,31.4,24.9,142.0,110.9,153.4,94.5,72.0
23839,19.5,20.5,115.9,154.6,103.5,116.0,116.0,159.3,100.6
238391,204.0,151.6,43.0,50.3,110.5,61.2,91.6,105.6,102.2
238392,223.5,172.1,158.9,204.8,214.0,177.2,207.6,264.8,202.9
2389,172.8,136.6,1.5,10.3,56.4,116.0,220.2,169.7,110.4
23891,152.4,118.4,51.4,178.1,75.2,114.0,134.0,122.1,118.2
238911,191.4,464.8,336.4,409.4,482.1,373.5,265.3,352.7,359.5
238912,343.7,583.3,285.0,231.3,557.3,487.5,399.3,474.8,420.3
23899,20.5,18.2,52.9,167.8,18.9,2.0,86.2,47.6,51.8
238991,159.8,264.4,297.2,141.6,128.4,42.9,45.2,9.6,136.1
238992,180.3,282.5,350.1,309.5,109.5,44.9,131.4,38.0,180.8
311,9513.8,10814.3,10344.6,9769.7,11566.4,9333.2,9256.1,7913.7,9814.0
3111,1828.6,1188.0,1264.9,1494.3,1396.3,520.9,155.8,511.3,1045.0
31111,1828.6,1188.0,1264.9,1494.3,1396.3,520.9,155.8,511.3,1045.0
311111,236.5,12.7,58.1,372.2,583.6,131.6,272.3,72.5,217.5
311119,1592.1,1175.3,1206.8,1122.1,812.7,652.5,428.0,438.8,928.5
3112,599.1,793.9,877.5,825.0,825.1,449.1,205.9,216.4,599.0
31121,231.3,290.0,504.7,217.1,6.1,30.9,71.1,72.5,178.0
311211,231.3,290.0,504.7,217.1,6.1,10.3,150.6,155.5,195.7
